,File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location,Latitude,Longitude
156,1205085,05/15/2012,2012,5,500 BLOCK,S Cottage Gove Av,05/15/2012,Weeds/Grass,City Abated,05/23/2012,Not Available,False,0.0,"500 S Cottage Gove Av
Urbana, IL
(40.109334311, -88.19563304)",40.109334311,-88.19563304
158,1007068,07/28/2010,2010,7,1100 BLOCK,S Lanore Dr,07/29/2010,Weeds/Grass,Owner Abated,08/06/2010,Not Available,False,0.0,"1100 S Lanore Dr
Urbana, IL
(40.103773967, -88.18651345)",40.103773967,-88.18651345
159,1307002,07/01/2013,2013,7,200 BLOCK,W Oregon St,07/01/2013,Weeds/Grass,Owner Abated,07/09/2013,Not Available,False,0.0,"200 W Oregon St
Urbana, IL
(40.107665734, -88.208906895)",40.107665734,-88.208906895
161,1210020,10/10/2012,2012,10,1000 BLOCK,S Lanore Dr,10/10/2012,Municipal Waste,Owner Abated,10/18/2012,Not Available,False,0.0,"1000 S Lanore Dr
Urbana, IL
(40.104747416, -88.186539849)",40.104747416,-88.186539849
162,19-002187,10/09/2019,2019,10,700 Block,West High Street,10/09/2019,Municipal Waste,Voluntarily Complied,10/17/2019,Phone,False,0.0,"700 West High Street
Urbana, IL
(40.10988641, -88.216066025)",40.10988641,-88.216066025
163,1006104,06/18/2010,2010,6,2000 BLOCK,S Burlison Dr,06/18/2010,Municipal Waste,Owner Abated,06/26/2010,Not Available,False,0.0,"2000 S Burlison Dr
Urbana, IL
(40.094087078, -88.208220154)",40.094087078,-88.208220154
165,21-001130,05/26/2021,2021,5,300 Block,East Florida Avenue,05/26/2021,Weeds/Grass,Voluntarily Complied,06/03/2021,Phone,False,0.0,"300 East Florida Avenue
Urbana, IL
(40.098387311, -88.20483513)",40.098387311,-88.20483513
166,1412011,12/15/2014,2014,12,200 BLOCK,S Hartle Av,12/15/2014,Municipal Waste,Owner Abated,12/23/2014,Not Available,False,0.0,"200 S Hartle Av
Urbana, IL
(40.111760734, -88.192100337)",40.111760734,-88.192100337
167,1702006,02/15/2017,2017,2,800 BLOCK,E Park St,02/15/2017,Municipal Waste,Owner Abated,02/23/2017,Not Available,False,0.0,"800 E Park St
Urbana, IL
(40.117296824, -88.198834469)",40.117296824,-88.198834469
169,1409027,09/15/2014,2014,9,1200 BLOCK,S Lanore Dr,09/15/2014,Weeds/Grass,Owner Abated,09/23/2014,Not Available,False,0.0,"1200 S Lanore Dr
Urbana, IL
(40.101654282, -88.186453136)",40.101654282,-88.186453136
170,809025,09/22/2008,2008,9,1000 BLOCK,E Burkwood Dr,09/23/2008,Weeds/Grass,Owner Abated,10/01/2008,Not Available,False,0.0,"1000 E Burkwood Dr
Urbana, IL
(40.096850145, -88.19598857)",40.096850145,-88.19598857
171,908083,08/31/2009,2009,8,1200 BLOCK,W Eads St,09/01/2009,Weeds/Grass,Owner Abated,09/09/2009,Not Available,False,0.0,"1200 W Eads St
Urbana, IL
(40.123186835, -88.224245514)",40.123186835,-88.224245514
172,703043,03/28/2007,2007,3,1200 BLOCK,W Beslin St,03/29/2007,Municipal Waste,Owner Abated,04/06/2007,Not Available,False,0.0,"1200 W Beslin St
Urbana, IL
(40.120347311, -88.224184965)",40.120347311,-88.224184965
173,1107052,07/28/2011,2011,7,2200 BLOCK,S Philo Rd,07/29/2011,Weeds/Grass,Owner Abated,08/06/2011,Not Available,False,0.0,"2200 S Philo Rd
Urbana, IL
(40.08822999, -88.189936014)",40.08822999,-88.189936014
174,18-000642,06/15/2018,2018,6,1300 Block,W Beech Street,06/15/2018,Municipal Waste,Voluntarily Complied,10/31/2018,Phone,False,0.0,"1300 W Beech Street
Urbana, IL
(40.122227288, -88.225824887)",40.122227288,-88.225824887
176,1009025,09/20/2010,2010,9,500 BLOCK,S Anderson St,09/21/2010,Municipal Waste,Owner Abated,09/29/2010,Not Available,False,0.0,"500 S Anderson St
Urbana, IL
(40.109303258, -88.200174417)",40.109303258,-88.200174417
178,1706021,06/21/2017,2017,6,1300 BLOCK,N Berkley Av,06/21/2017,Municipal Waste,Owner Abated,06/29/2017,Not Available,False,0.0,"1300 N Berkley Av
Urbana, IL
(40.124858616, -88.206426857)",40.124858616,-88.206426857
179,21-002284,09/29/2021,2021,9,1100 Block,West Church Street,09/29/2021,Weeds/Grass,Voluntarily Complied,10/07/2021,Phone,False,0.0,"1100 West Church Street
Urbana, IL
(40.118316584, -88.221883749)",40.118316584,-88.221883749
180,18-036167,10/16/2018,2018,10,1000 Block,East Florida Avenue,10/16/2018,Weeds/Grass,Voluntarily Complied,10/24/2018,Phone,False,0.0,"1000 East Florida Avenue
Urbana, IL
(40.098432347, -88.196699437)",40.098432347,-88.196699437
181,21-001432,06/29/2021,2021,6,800 Block,West Ohio Street,06/29/2021,Municipal Waste,Voluntarily Complied,07/07/2021,Phone,False,0.0,"800 West Ohio Street
Urbana, IL
(40.103766803, -88.217695539)",40.103766803,-88.217695539
183,20-002243,11/05/2020,2020,11,700 Block,East Colorado Avenue,11/05/2020,Municipal Waste,Voluntarily Complied,11/16/2020,Phone,False,0.0,"700 East Colorado Avenue
Urbana, IL
(40.094767815, -88.198545792)",40.094767815,-88.198545792
185,1205082,05/14/2012,2012,5,900 BLOCK,N Busey Av,05/15/2012,Weeds/Grass,Owner Abated,05/23/2012,Not Available,False,0.0,"900 N Busey Av
Urbana, IL
(40.120137906, -88.216875838)",40.120137906,-88.216875838
187,1709019,09/12/2017,2017,9,800 BLOCK,W Illinois St,09/12/2017,Municipal Waste,Owner Abated,09/20/2017,Not Available,False,0.0,"800 W Illinois St
Urbana, IL
(40.109175862, -88.217786776)",40.109175862,-88.217786776
188,1705016,05/08/2017,2017,5,1400 BLOCK,Laurel Dr.,05/08/2017,Weeds/Grass,Owner Abated,05/16/2017,Not Available,False,0.0,"1400 Laurel Dr
Urbana, IL
(40.100948454, -88.191906417)",40.100948454,-88.191906417
189,23-001583,05/31/2023,2023,5,900 Block,East Crestwood Drive,05/31/2023,Weeds/Grass,Voluntarily Complied,06/08/2023,Phone,False,0.0,"900 East Crestwood Drive
Urbana, IL
(40.103631446, -88.197757861)",40.103631446,-88.197757861
190,1508042,08/20/2015,2015,8,800 BLOCK,W Illinois St,08/20/2015,Municipal Waste,Owner Abated,08/28/2015,Not Available,False,0.0,"800 W Illinois St
Urbana, IL
(40.109175862, -88.217786776)",40.109175862,-88.217786776
191,18-000488,05/14/2018,2018,5,1500 Block,S Philo Road,05/14/2018,Weeds/Grass,Voluntarily Complied,05/22/2018,City Staff Reported,False,0.0,"1500 S Philo Road
Urbana, IL
(40.099993213, -88.190654446)",40.099993213,-88.190654446
192,22-000850,04/20/2022,2022,4,200 Block,North Busey Avenue,04/20/2022,Municipal Waste,Voluntarily Complied,04/28/2022,Email,False,0.0,"200 North Busey Avenue
Urbana, IL
(40.113435512, -88.217612328)",40.113435512,-88.217612328
193,1202007,02/15/2012,2012,2,1100 BLOCK,W Hill St,02/16/2012,Municipal Waste,Owner Abated,02/24/2012,Not Available,False,0.0,"1100 W Hill St
Urbana, IL
(40.119256963, -88.221825376)",40.119256963,-88.221825376
194,22-002727,08/24/2022,2022,8,1100 Block,North Berkley Avenue,08/24/2022,Weeds/Grass,Voluntarily Complied,09/01/2022,Phone,False,0.0,"1100 North Berkley Avenue
Urbana, IL
(40.122346351, -88.206375111)",40.122346351,-88.206375111
197,23-002282,08/08/2023,2023,8,700 Block,South Wabash Avenue,08/08/2023,Weeds/Grass,Voluntarily Complied,12/18/2023,Phone,False,0.0,"700 South Wabash Avenue
Urbana, IL
(40.10767355, -88.196573983)",40.10767355,-88.196573983
198,18-000636,06/13/2018,2018,6,200 Block,"E ""George Huff"" Drive",06/14/2018,Weeds/Grass,City Abated,10/31/2018,Phone,False,688.0,"200 E George Huff Drive
Urbana, IL
(40.091020065, -88.205898893)",40.091020065,-88.205898893
199,1603016,03/28/2016,2016,3,300 BLOCK,E Thompson St,03/28/2016,Municipal Waste,Owner Abated,04/05/2016,Not Available,False,0.0,"300 E Thompson St
Urbana, IL
(40.125996666, -88.20528422)",40.125996666,-88.20528422
200,1707030,07/24/2017,2017,7,2200 BLOCK,Vawter St,07/24/2017,Municipal Waste,Owner Abated,08/01/2017,Not Available,False,0.0,"2200 Vawter St
Urbana, IL
(40.089843561, -88.191633966)",40.089843561,-88.191633966
201,705101,05/23/2007,2007,5,700 BLOCK,E University Av,05/24/2007,Weeds/Grass,Owner Abated,06/01/2007,Not Available,False,0.0,"700 E University Av
Urbana, IL
(40.116378041, -88.200496019)",40.116378041,-88.200496019
202,709052,09/17/2007,2007,9,1500 BLOCK,N Romine St,09/17/2007,Municipal Waste,Owner Abated,09/19/2007,Not Available,False,0.0,"1500 N Romine St
Urbana, IL
(40.126374425, -88.227545748)",40.126374425,-88.227545748
207,21-002486,10/20/2021,2021,10,1200 Block,South Lincoln Avenue,10/20/2021,Weeds/Grass,Voluntarily Complied,01/04/2022,Phone,False,0.0,"1200 South Lincoln Avenue
Urbana, IL
(40.102725003, -88.219115123)",40.102725003,-88.219115123
208,1305168,05/29/2013,2013,5,1500 BLOCK,E Washington St,05/29/2013,Weeds/Grass,City Abated,06/06/2013,Not Available,False,0.0,"1500 E Washington St
Urbana, IL
(40.105727302, -88.190036395)",40.105727302,-88.190036395
210,1204030,04/17/2012,2012,4,800 BLOCK,S Urbana Av,04/17/2012,Weeds/Grass,Owner Abated,04/25/2012,Not Available,False,0.0,"800 S Urbana Av
Urbana, IL
(40.106636288, -88.203544924)",40.106636288,-88.203544924
212,18-001032,09/20/2018,2018,9,600 Block,East Green Street,09/24/2018,Weeds/Grass,City Abated,10/31/2018,Phone,False,305.0,"600 East Green Street
Urbana, IL
(40.110908648, -88.201306916)",40.110908648,-88.201306916
213,19-000947,05/20/2019,2019,5,1100 Block,East Scovill Street,05/20/2019,Weeds/Grass,Voluntarily Complied,05/28/2019,Phone,False,0.0,"1100 East Scovill Street
Urbana, IL
(40.085835418, -88.195581276)",40.085835418,-88.195581276
214,1004026,04/27/2010,2010,4,1600 BLOCK,Ivanhoe Way,04/28/2010,Weeds/Grass,Owner Abated,05/06/2010,Not Available,False,0.0,"1600 Ivanhoe Way
Urbana, IL
(40.102304581, -88.18864421)",40.102304581,-88.18864421
216,908063,08/24/2009,2009,8,600 BLOCK,W Green St,08/25/2009,Weeds/Grass,Owner Abated,09/02/2009,Not Available,False,0.0,"600 W Green St
Urbana, IL
(40.110716251, -88.214626239)",40.110716251,-88.214626239
217,902017,02/10/2009,2009,2,1100 BLOCK,S Cottage Grove Av,02/11/2009,Weeds/Grass,Owner Abated,02/19/2008,Not Available,False,0.0,"1100 S Cottage Grove Av
Urbana, IL
(40.103751395, -88.195540252)",40.103751395,-88.195540252
219,20-001368,07/21/2020,2020,7,300 Block,East Kerr Avenue,07/21/2020,Weeds/Grass,Voluntarily Complied,11/17/2020,Phone,False,0.0,"300 East Kerr Avenue
Urbana, IL
(40.122038136, -88.205226124)",40.122038136,-88.205226124
220,805005,05/05/2008,2008,5,500 BLOCK,S Cottage Grove Av,05/06/2008,Weeds/Grass,Owner Abated,05/14/2008,Not Available,False,0.0,"500 S Cottage Grove Av
Urbana, IL
(40.109334311, -88.19563304)",40.109334311,-88.19563304
221,19-001876,08/30/2019,2019,8,2300 Block,"East ""Country Squire"" Drive",08/30/2019,Weeds/Grass,Voluntarily Complied,09/09/2019,Phone,False,0.0,"2300 East Country Squire Drive
Urbana, IL
(40.103259889, -88.177509554)",40.103259889,-88.177509554
222,22-002146,06/29/2022,2022,6,700 Block,East Colorado Avenue,06/29/2022,Municipal Waste,Voluntarily Complied,09/27/2022,Phone,False,0.0,"700 East Colorado Avenue
Urbana, IL
(40.094767815, -88.198545792)",40.094767815,-88.198545792
223,1006115,06/22/2010,2010,6,2200 BLOCK,S Philo Rd,06/23/2010,Weeds/Grass,Owner Abated,07/01/2010,Not Available,False,0.0,"2200 S Philo Rd
Urbana, IL
(40.08822999, -88.189936014)",40.08822999,-88.189936014
226,1409040,09/30/2014,2014,9,1400 BLOCK,W Eads St,09/30/2014,Weeds/Grass,Owner Abated,10/08/2014,Not Available,False,0.0,"1400 W Eads St
Urbana, IL
(40.123167276, -88.227254924)",40.123167276,-88.227254924
227,1209025,09/12/2012,2012,9,1300 BLOCK,N Berkley Av,09/13/2012,Weeds/Grass,Owner Abated,09/21/2012,Not Available,False,0.0,"1300 N Berkley Av
Urbana, IL
(40.124858616, -88.206426857)",40.124858616,-88.206426857
228,1705005,05/01/2017,2017,5,400 BLOCK,E Colorado Av,05/01/2017,Weeds/Grass,Owner Abated,05/09/2017,Not Available,False,0.0,"400 E Colorado Av
Urbana, IL
(40.094737286, -88.202822633)",40.094737286,-88.202822633
231,19-001731,08/15/2019,2019,8,400 Block,South Busey Avenue,08/15/2019,Municipal Waste,Voluntarily Complied,08/23/2019,Phone,False,0.0,"400 South Busey Avenue
Urbana, IL
(40.109753337, -88.217644274)",40.109753337,-88.217644274
232,706014,06/05/2007,2007,6,1200 BLOCK,W Eads St,06/07/2007,Weeds/Grass,City Abated,06/15/2007,Not Available,False,0.0,"1200 W Eads St
Urbana, IL
(40.123186835, -88.224245514)",40.123186835,-88.224245514
233,1612006,12/12/2016,2016,12,1900 BLOCK,Anderson St,12/12/2016,Municipal Waste,Owner Abated,12/20/2016,Not Available,False,0.0,"1900 Anderson St
Urbana, IL
(40.094652701, -88.198545103)",40.094652701,-88.198545103
234,905081,05/21/2009,2009,5,400 BLOCK,E Green St,05/22/2009,Weeds/Grass,Owner Abated,05/30/2009,Not Available,False,0.0,"400 E Green St
Urbana, IL
(40.110868593, -88.203636816)",40.110868593,-88.203636816
236,18-000950,09/04/2018,2018,9,1200 Block,East Eastern Drive,09/04/2018,Weeds/Grass,Voluntarily Complied,09/12/2018,Phone,False,0.0,"1200 East Eastern Drive
Urbana, IL
(40.10447701, -88.194456961)",40.10447701,-88.194456961
237,18-000585,05/30/2018,2018,5,1300 Block,E Briarcliff Drive,05/30/2018,Weeds/Grass,Voluntarily Complied,06/07/2018,Phone,False,0.0,"1300 E Briarcliff Drive
Urbana, IL
(40.100570697, -88.193065821)",40.100570697,-88.193065821
238,23-002317,08/10/2023,2023,8,400 Block,West High Street,08/10/2023,Weeds/Grass,Voluntarily Complied,12/18/2023,Phone,False,0.0,"400 West High Street
Urbana, IL
(40.109946217, -88.211826301)",40.109946217,-88.211826301
239,23-001310,05/15/2023,2023,5,1200 Block,North Lincoln Avenue,05/15/2023,Weeds/Grass,Voluntarily Complied,05/23/2023,Phone,False,0.0,"1200 North Lincoln Avenue
Urbana, IL
(40.12309763, -88.219393669)",40.12309763,-88.219393669
240,1708030,08/23/2017,2017,8,800 BLOCK,Lynn St,08/23/2017,Weeds/Grass,Owner Abated,08/31/2017,Not Available,False,0.0,"800 Lynn St
Urbana, IL
(40.106696277, -88.197829847)",40.106696277,-88.197829847
242,23-002623,09/05/2023,2023,9,800 Block,East Green Street,09/05/2023,Weeds/Grass,Voluntarily Complied,09/13/2023,Phone,False,0.0,"800 East Green Street
Urbana, IL
(40.110948414, -88.199066585)",40.110948414,-88.199066585
244,1006123,06/23/2010,2010,6,0 BLOCK,Squire Ct,06/24/2010,Municipal Waste,Owner Abated,07/02/2010,Not Available,False,0.0,"0 Squire Ct
Urbana, IL
(40.102640011, -88.185400021)",40.102640011,-88.185400021
245,1106006,06/02/2011,2011,6,600 BLOCK,W High St,06/03/2011,Municipal Waste,Owner Abated,06/11/2011,Not Available,False,0.0,"600 W High St
Urbana, IL
(40.109906278, -88.214606273)",40.109906278,-88.214606273
246,1408059,08/19/2014,2014,8,500 BLOCK,W Green St,08/19/2014,Weeds/Grass,Owner Abated,08/27/2014,Not Available,False,0.0,"500 W Green St
Urbana, IL
(40.110736204, -88.213236316)",40.110736204,-88.213236316
247,1209020,09/11/2012,2012,9,800 BLOCK,W Pennsylvania Av,09/11/2012,Weeds/Grass,Owner Abated,09/19/2012,Not Available,False,0.0,"800 W Pennsylvania Av
Urbana, IL
(40.100716826, -88.217655568)",40.100716826,-88.217655568
249,906023,06/05/2009,2009,6,2200 BLOCK,Lantern Hill Dr,06/09/2009,Weeds/Grass,Owner Abated,06/17/2009,Not Available,False,0.0,"2200 Lantern Hill Dr
Urbana, IL
(40.104157796, -88.180050442)",40.104157796,-88.180050442
250,20-001073,06/17/2020,2020,6,1300 Block,East Green Street,06/17/2020,Weeds/Grass,Voluntarily Complied,06/25/2020,Phone,False,0.0,"1300 East Green Street
Urbana, IL
(40.111017992, -88.193305986)",40.111017992,-88.193305986
251,1005110,05/25/2010,2010,5,1400 BLOCK,E Briarcliff Dr,05/26/2010,Weeds/Grass,Owner Abated,06/03/2010,Not Available,False,0.0,"1400 E Briarcliff Dr
Urbana, IL
(40.100155838, -88.192007072)",40.100155838,-88.192007072
252,18-036179,10/17/2018,2018,10,1100 Block,West Hill Street,10/17/2018,Weeds/Grass,City Abated,10/31/2018,Phone,False,302.0,"1100 West Hill Street
Urbana, IL
(40.119256963, -88.221825376)",40.119256963,-88.221825376
255,21-001821,08/11/2021,2021,8,1100 Block,South Austin Drive,08/11/2021,Weeds/Grass,Voluntarily Complied,08/19/2021,Phone,False,0.0,"1100 South Austin Drive
Urbana, IL
(40.10376461, -88.187452664)",40.10376461,-88.187452664
256,701002,01/02/2007,2007,1,100 BLOCK,N Busey Av,01/03/2007,Weeds/Grass,City Abated,01/11/2007,Not Available,False,0.0,"100 N Busey Av
Urbana, IL
(40.112764327, -88.21770264)",40.112764327,-88.21770264
257,23-000033,01/06/2023,2023,1,1200 Block,North Berkley Avenue,01/06/2023,Municipal Waste,Voluntarily Complied,01/17/2023,Phone,False,0.0,"1200 North Berkley Avenue
Urbana, IL
(40.123810194, -88.206416812)",40.123810194,-88.206416812
260,18-000751,07/11/2018,2018,7,1200 Block,W Hill Street,07/11/2018,Weeds/Grass,Voluntarily Complied,08/01/2018,City Staff Reported,False,0.0,"1200 W Hill Street
Urbana, IL
(40.119396844, -88.224145499)",40.119396844,-88.224145499
261,1109035,09/14/2011,2011,9,1500 BLOCK,S Philo Rd,09/14/2011,Municipal Waste,Owner Abated,09/22/2011,Not Available,False,0.0,"1500 S Philo Rd
Urbana, IL
(40.099993213, -88.190654446)",40.099993213,-88.190654446
262,1509024,09/14/2015,2015,9,400 BLOCK,W High St,09/14/2015,Municipal Waste,Owner Abated,09/22/2015,Not Available,False,0.0,"400 W High St
Urbana, IL
(40.109946217, -88.211826301)",40.109946217,-88.211826301
263,1105101,05/20/2011,2011,5,1000 BLOCK,S Cottage Grove Av,05/20/2011,Weeds/Grass,Owner Abated,05/28/2011,Not Available,False,0.0,"1000 S Cottage Grove Av
Urbana, IL
(40.104393053, -88.195556895)",40.104393053,-88.195556895
264,22-001578,06/01/2022,2022,6,700 Block,East University Avenue,06/01/2022,Weeds/Grass,Voluntarily Complied,06/09/2022,Phone,False,0.0,"700 East University Avenue
Urbana, IL
(40.116378041, -88.200496019)",40.116378041,-88.200496019
265,17-000427,12/21/2017,2017,12,1300 Block,W Tremont Street,12/21/2017,Municipal Waste,Voluntarily Complied,01/02/2018,Phone,False,0.0,"1300 W Tremont Street
Urbana, IL
(40.124867195, -88.225876184)",40.124867195,-88.225876184
267,703004,03/06/2007,2007,3,800 BLOCK,W Iowa St,03/07/2007,Municipal Waste,Owner Abated,03/15/2007,Not Available,False,0.0,"800 W Iowa St
Urbana, IL
(40.104716333, -88.21770612)",40.104716333,-88.21770612
271,18-000409,04/25/2018,2018,4,700 Block,W Illinois Street,04/25/2018,Municipal Waste,Voluntarily Complied,05/03/2018,Email,False,0.0,"700 W Illinois Street
Urbana, IL
(40.10930398, -88.216247982)",40.10930398,-88.216247982
272,1207003,07/03/2012,2012,7,400 BLOCK,S Poplar St,07/03/2012,Municipal Waste,Owner Abated,07/11/2012,Not Available,False,0.0,"400 S Poplar St
Urbana, IL
(40.110163, -88.194410038)",40.110163,-88.194410038
273,19-002132,10/04/2019,2019,10,200 Block,West California Avenue,10/04/2019,Municipal Waste,Voluntarily Complied,10/14/2019,Phone,False,0.0,"200 West California Avenue
Urbana, IL
(40.108465229, -88.208917503)",40.108465229,-88.208917503
275,1405027,05/13/2014,2014,5,800 BLOCK,W Ohio St,05/13/2004,Weeds/Grass,Owner Abated,05/21/2014,Not Available,False,0.0,"800 W Ohio St
Urbana, IL
(40.103766803, -88.217695539)",40.103766803,-88.217695539
276,1404019,04/22/2014,2014,4,2100 BLOCK,E Country Squire Dr,04/22/2014,Weeds/Grass,Owner Abated,04/30/2014,Not Available,False,0.0,"2100 E Country Squire Dr
Urbana, IL
(40.102528353, -88.18133652)",40.102528353,-88.18133652
277,20-000725,05/11/2020,2020,5,1100 Block,North Broadway Avenue,05/11/2020,Weeds/Grass,Voluntarily Complied,05/19/2020,Phone,False,0.0,"1100 North Broadway Avenue
Urbana, IL
(40.122798153, -88.207576197)",40.122798153,-88.207576197
278,1208067,08/27/2012,2012,8,600 BLOCK,S Cottage Grove Av,08/28/2012,Weeds/Grass,Owner Abated,09/05/2012,Not Available,False,0.0,"600 S Cottage Grove Av
Urbana, IL
(40.108493807, -88.195603619)",40.108493807,-88.195603619
279,23-001489,05/23/2023,2023,5,700 Block,East University Avenue,05/23/2023,Weeds/Grass,City Abated,08/30/2023,Phone,False,177.5,"700 East University Avenue
Urbana, IL
(40.116378041, -88.200496019)",40.116378041,-88.200496019
280,912007,12/11/2009,2009,12,1000 BLOCK,N Berkley Av,12/11/2009,Weeds/Grass,City Abated,12/11/2009,Not Available,False,0.0,"1000 N Berkley Av
Urbana, IL
(40.121997288, -88.206375111)",40.121997288,-88.206375111
281,21-001969,08/31/2021,2021,8,1300 Block,East Florida Avenue,08/31/2021,Weeds/Grass,Voluntarily Complied,09/13/2021,Phone,False,0.0,"1300 East Florida Avenue
Urbana, IL
(40.098437848, -88.193425808)",40.098437848,-88.193425808
283,1205116,05/29/2012,2012,5,1200 BLOCK,W Dublin St,05/30/2012,Weeds/Grass,Owner Abated,06/07/2012,Not Available,False,0.0,"1200 W Dublin St
Urbana, IL
(40.121316357, -88.224216112)",40.121316357,-88.224216112
